RegionID,RegionName,SizeRank,2014,2015,2016,2017,2018,2019,2020,2021
102001,United States,0,1389,1455,1513,1563,1617,1675,1708,1754
394913,"New York, NY",1,2316,2427,2493,2536,2575,2632,2558,2452
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1829,1956,2081,2191,2287,2374,2401,2430
394463,"Chicago, IL",3,1522,1569,1618,1653,1686,1728,1733,1727
394514,"Dallas-Fort Worth, TX",4,1199,1252,1313,1370,1419,1469,1506,1567
394974,"Philadelphia, PA",5,1410,1449,1490,1524,1568,1618,1654,1691
394692,"Houston, TX",6,1227,1284,1297,1308,1347,1371,1381,1407
395209,"Washington, DC",7,1863,1894,1927,1960,1999,2055,2051,2030
394856,"Miami-Fort Lauderdale, FL",8,1700,1800,1872,1914,1966,2020,2076,2194
394347,"Atlanta, GA",9,1130,1187,1255,1326,1403,1481,1551,1665
394404,"Boston, MA",10,2209,2287,2379,2457,2529,2609,2590,2546
395057,"San Francisco, CA",11,2344,2680,2839,2912,3008,3099,3026,2899
394532,"Detroit, MI",12,1019,1051,1085,1124,1167,1206,1251,1325
395025,"Riverside, CA",13,1467,1537,1614,1706,1805,1894,2015,2215
394976,"Phoenix, AZ",14,1020,1078,1140,1201,1282,1383,1491,1637
395078,"Seattle, WA",15,1413,1525,1641,1748,1816,1895,1921,1909
394865,"Minneapolis-St Paul, MN",16,1238,1281,1334,1392,1450,1508,1544,1564
395056,"San Diego, CA",17,1675,1783,1885,1983,2077,2155,2218,2319
395121,"St. Louis, MO",18,983,1013,1038,1059,1085,1120,1159,1204
395148,"Tampa, FL",19,1158,1215,1278,1339,1407,1472,1549,1674
394358,"Baltimore, MD",20,1443,1474,1488,1497,1516,1548,1570,1628
394530,"Denver, CO",21,1283,1428,1503,1555,1615,1674,1697,1743
394982,"Pittsburgh, PA",22,1036,1067,1082,1099,1131,1171,1203,1231
394998,"Portland, OR",23,1158,1276,1374,1427,1470,1523,1557,1603
394458,"Charlotte, NC",24,1142,1199,1262,1321,1380,1448,1499,1579
395045,"Sacramento, CA",25,1260,1340,1448,1567,1667,1752,1841,1965
395055,"San Antonio, TX",26,1000,1040,1079,1112,1144,1185,1216,1262
394943,"Orlando, FL",27,1196,1254,1319,1387,1472,1538,1581,1653
394466,"Cincinnati, OH",28,1030,1073,1114,1157,1208,1272,1334,1399
394475,"Cleveland, OH",29,1095,1140,1176,1180,1209,1245,1283,1337
394735,"Kansas City, MO",30,940,978,1015,1052,1088,1129,1179,1230
394775,"Las Vegas, NV",31,1029,1067,1116,1176,1254,1333,1403,1528
394492,"Columbus, OH",32,983,1022,1063,1105,1157,1203,1255,1311
394705,"Indianapolis, IN",33,999,1025,1057,1088,1130,1180,1245,1325
395059,"San Jose, CA",34,2320,2649,2773,2828,2938,3029,2976,2861
394355,"Austin, TX",35,1234,1298,1342,1365,1404,1466,1489,1545
395194,"Virginia Beach, VA",36,1178,1196,1210,1228,1252,1287,1335,1416
394902,"Nashville, TN",37,1184,1270,1340,1390,1433,1492,1544,1601
395005,"Providence, RI",38,1170,1218,1274,1324,1388,1452,1530,1643
394862,"Milwaukee, WI",39,1023,1058,1079,1098,1123,1153,1186,1219
394714,"Jacksonville, FL",40,1059,1088,1128,1171,1229,1280,1335,1431
394849,"Memphis, TN",41,1051,1071,1092,1114,1149,1198,1281,1391
394935,"Oklahoma City, OK",42,991,1018,1018,1023,1044,1077,1104,1147
394807,"Louisville-Jefferson County, KY",43,890,926,961,1000,1030,1062,1099,1138
394669,"Hartford, CT",44,1223,1253,1275,1298,1323,1352,1395,1461
395022,"Richmond, VA",45,1059,1084,1114,1147,1191,1235,1276,1334
394910,"New Orleans, LA",46,1104,1129,1149,1167,1178,1198,1223,1267
394425,"Buffalo, NY",47,877,933,968,1003,1037,1072,1118,1167
395012,"Raleigh, NC",48,1155,1197,1241,1279,1319,1374,1417,1486
394388,"Birmingham, AL",49,1028,1053,1073,1094,1127,1170,1215,1265
395053,"Salt Lake City, UT",50,1053,1097,1152,1214,1280,1342,1383,1460
395031,"Rochester, NY",51,974,1013,1040,1071,1106,1135,1183,1266
394640,"Grand Rapids, MI",52,868,941,1020,1083,1137,1190,1242,1305
395167,"Tucson, AZ",53,939,956,984,1029,1089,1155,1231,1341
753924,"Urban Honolulu, HI",54,2022,2152,2195,2223,2259,2297,2315,2378
395169,"Tulsa, OK",55,948,968,978,984,998,1023,1065,1127
394619,"Fresno, CA",56,1140,1174,1218,1277,1348,1427,1511,1648
395238,"Worcester, MA",57,1092,1140,1198,1259,1325,1394,1461,1535
394415,"Stamford, CT",58,1846,1916,1949,1987,2034,2090,2167,2287
394312,"Albuquerque, NM",59,957,978,1003,1027,1058,1102,1166,1261
394308,"Albany, NY",60,1139,1173,1204,1233,1261,1294,1338,1382
394938,"Omaha, NE",61,890,933,963,993,1020,1058,1106,1150
394908,"New Haven, CT",62,1225,1266,1295,1323,1359,1396,1449,1514
394357,"Bakersfield, CA",63,1014,1044,1066,1101,1148,1211,1293,1391
394753,"Knoxville, TN",64,978,1004,1035,1079,1130,1195,1263,1365
394653,"Greenville, SC",65,966,1010,1059,1087,1127,1169,1203,1257
394952,"Ventura, CA",66,2009,2118,2218,2322,2427,2512,2593,2750
394318,"Allentown, PA",67,1193,1218,1251,1288,1328,1377,1443,1563
394561,"El Paso, TX",68,997,1001,1006,1011,1022,1048,1100,1159
394367,"Baton Rouge, LA",69,1119,1142,1177,1197,1196,1198,1211,1248
394521,"Dayton, OH",70,815,839,868,897,930,969,1017,1070
394648,"Greensboro, NC",73,962,980,1003,1040,1075,1127,1190,1274
394304,"Akron, OH",74,801,836,855,872,891,918,959,1015
753906,"North Port-Sarasota-Bradenton, FL",75,1326,1426,1489,1536,1590,1651,1721,1855
394798,"Little Rock, AR",76,818,829,837,849,859,879,910,959
395134,"Stockton, CA",77,1360,1455,1576,1709,1820,1922,2056,2251
394457,"Charleston, SC",78,1189,1249,1306,1363,1412,1458,1497,1560
394484,"Colorado Springs, CO",80,1083,1140,1216,1295,1368,1441,1523,1627
395235,"Winston-Salem, NC",81,1074,1093,1124,1162,1210,1269,1338,1436
395224,"Wichita, KS",82,741,760,767,772,783,798,825,858
395115,"Springfield, MA",83,1245,1285,1327,1359,1408,1452,1498,1559
394440,"Fort Myers, FL",84,1169,1304,1408,1466,1522,1577,1643,1748
